claim_id,claim,claim_type,paper_record_id,paper_title,doi,arxiv_id,semantic_scholar_paper_id,source_url,evidence_location,evidence_type,quote,paraphrase,verified,extraction_uncertainty
claim-001,"In a Retrieval Augmented Generation system, the possibility of hallucination is ever prevalent, as it has been increasingly common for an AI model to produce inaccurate generations given an input, which can become increasingly more devastating for a RAG system due to its node-like generation.",paper_result,paper-04f77cefe3e8,A Self-Reflective Retrieval Augmented Generation System to Eliminate Hallucination in LLM Generation,10.5121/csit.2024.141402,,1281ec0c63825715cd666c447662bbf7f6992fc3,https://www.semanticscholar.org/paper/1281ec0c63825715cd666c447662bbf7f6992fc3,abstract excerpt,abstract,"In a Retrieval Augmented Generation system, the possibility of hallucination is ever prevalent, as it has been increasingly common for an AI model to produce inaccurate generations given an input, which can become increasingly more devastating for a RAG system due to its node-like generation.",Hallucination is a common and potentially severe issue in RAG systems because of their node-like generation process.,True,"The abstract excerpt is truncated mid-sentence ('A major challenge f'), so limitations and key results are incomplete. No datasets or metrics are provided in the excerpt."
claim-002,"To solve this problem, we introduced a series of selfreflective nodes, creating a self-RAG model.",paper_result,paper-04f77cefe3e8,A Self-Reflective Retrieval Augmented Generation System to Eliminate Hallucination in LLM Generation,10.5121/csit.2024.141402,,1281ec0c63825715cd666c447662bbf7f6992fc3,https://www.semanticscholar.org/paper/1281ec0c63825715cd666c447662bbf7f6992fc3,abstract excerpt,abstract,"To solve this problem, we introduced a series of selfreflective nodes, creating a self-RAG model.",The authors introduced self-reflective nodes to create a self-RAG model aimed at solving hallucination.,True,"The abstract excerpt is truncated mid-sentence ('A major challenge f'), so limitations and key results are incomplete. No datasets or metrics are provided in the excerpt."
claim-003,"To create our program, we established a series of nodes that utilized ChatGPT for generation as well as the Langchain python library and its workflow functions to piece together the nodes.",paper_result,paper-04f77cefe3e8,A Self-Reflective Retrieval Augmented Generation System to Eliminate Hallucination in LLM Generation,10.5121/csit.2024.141402,,1281ec0c63825715cd666c447662bbf7f6992fc3,https://www.semanticscholar.org/paper/1281ec0c63825715cd666c447662bbf7f6992fc3,abstract excerpt,abstract,"To create our program, we established a series of nodes that utilized ChatGPT for generation as well as the Langchain python library and its workflow functions to piece together the nodes.",The program was built using nodes that employed ChatGPT for generation and the Langchain Python library with its workflow functions to connect the nodes.,True,"The abstract excerpt is truncated mid-sentence ('A major challenge f'), so limitations and key results are incomplete. No datasets or metrics are provided in the excerpt."
claim-004,"The performance of retrieval-augmented generation (RAG) systems heavily depends on the quality of the re-ranking module, yet existing methods face challenges such as training instability, unreasonable reward design, and insufficient confidence calibration.",paper_result,paper-ecbad2356e06,GRPO++: A Controlled Differentiable Reinforcement Learning Reranking Method for Retrieval-Augmented Generation,10.21203/rs.3.rs-8088895/v1,,,https://doi.org/10.21203/rs.3.rs-8088895/v1,abstract excerpt,abstract,"The performance of retrieval-augmented generation (RAG) systems heavily depends on the quality of the re-ranking module, yet existing methods face challenges such as training instability, unreasonable reward design, and insufficient confidence calibration.","RAG performance is heavily dependent on re-ranking quality, but current methods suffer from training instability, poor reward design, and inadequate confidence calibration.",True,"The abstract excerpt is truncated mid-sentence ('Evi'), so the complete methodology, datasets, key results, and limitations are not provided."
claim-005,"This paper proposes GRPO++, an end-to-end re-ranking framework based on reinforcement learning, which collaboratively optimizes five core modules: Soft Normalized Discounted Cumulative Gain (Soft-nDCG) to achieve a differentiable ranking objective; Critical Reweighting for Importance (CRI) to enhance Top-K position optimization; Evi",paper_result,paper-ecbad2356e06,GRPO++: A Controlled Differentiable Reinforcement Learning Reranking Method for Retrieval-Augmented Generation,10.21203/rs.3.rs-8088895/v1,,,https://doi.org/10.21203/rs.3.rs-8088895/v1,abstract excerpt,abstract,"This paper proposes GRPO++, an end-to-end re-ranking framework based on reinforcement learning, which collaboratively optimizes five core modules: Soft Normalized Discounted Cumulative Gain (Soft-nDCG) to achieve a differentiable ranking objective; Critical Reweighting for Importance (CRI) to enhance Top-K position optimization; Evi","The paper introduces GRPO++, a reinforcement learning-based end-to-end re-ranking framework that jointly optimizes five modules, including Soft-nDCG for differentiable ranking and CRI for Top-K position optimization.",True,"The abstract excerpt is truncated mid-sentence ('Evi'), so the complete methodology, datasets, key results, and limitations are not provided."
claim-006,"Multi-hop retrieval-augmented generation (RAG) can fail to fully exploit useful evidence even after it has entered the candidate pool, because ranking and limited context budgets determine which documents are actually exposed to the reader.",paper_result,paper-a3eb70dfbd35,Candidate Evidence Reranking and Risk-Aware Answer Selection in Multi-Hop Retrieval-Augmented Generation,10.21203/rs.3.rs-11009751/v1,,,https://doi.org/10.21203/rs.3.rs-11009751/v1,abstract excerpt,abstract,"Multi-hop retrieval-augmented generation (RAG) can fail to fully exploit useful evidence even after it has entered the candidate pool, because ranking and limited context budgets determine which documents are actually exposed to the reader.","In multi-hop RAG, useful evidence may not be fully utilized after entering the candidate pool due to ranking and context budget constraints that control document exposure to the reader.",True,"The abstract excerpt is truncated mid-sentence ('traje'), so the complete methodology, datasets, metrics, key results, and limitations are not available."
claim-007,Candidate answers produced by multiple retrieval trajectories can likewise be misselected when answer frequency does not align with correction value.,paper_result,paper-a3eb70dfbd35,Candidate Evidence Reranking and Risk-Aware Answer Selection in Multi-Hop Retrieval-Augmented Generation,10.21203/rs.3.rs-11009751/v1,,,https://doi.org/10.21203/rs.3.rs-11009751/v1,abstract excerpt,abstract,Candidate answers produced by multiple retrieval trajectories can likewise be misselected when answer frequency does not align with correction value.,Candidate answers from multiple retrieval trajectories may be incorrectly selected when answer frequency does not match correction value.,True,"The abstract excerpt is truncated mid-sentence ('traje'), so the complete methodology, datasets, metrics, key results, and limitations are not available."
claim-008,"Building on the SQL-Retrieval Augmented Generation (SAG) backbone, we develop a two-layer framework for candidate utilization. At the evidence layer, candidate evidence reranking (CAPE) combines traje",paper_result,paper-a3eb70dfbd35,Candidate Evidence Reranking and Risk-Aware Answer Selection in Multi-Hop Retrieval-Augmented Generation,10.21203/rs.3.rs-11009751/v1,,,https://doi.org/10.21203/rs.3.rs-11009751/v1,abstract excerpt,abstract,"Building on the SQL-Retrieval Augmented Generation (SAG) backbone, we develop a two-layer framework for candidate utilization. At the evidence layer, candidate evidence reranking (CAPE) combines traje","The authors build on the SAG backbone to create a two-layer framework for candidate utilization, with the evidence layer using candidate evidence reranking (CAPE) that combines traje [truncated].",True,"The abstract excerpt is truncated mid-sentence ('traje'), so the complete methodology, datasets, metrics, key results, and limitations are not available."
claim-009,"This research explores the application of Self-Reflective Retrieval-Au’gmented Generation (Self-RAG) within analytical systems, specifically focusing on data distribution systems.",paper_result,paper-26d0681ef25e,Self-Reflective Retrieval-Augmented Generation (Self-RAG) in Analytical Systems,10.36930/conf150.5.21,,d1512331edf8d9cbffa0e433eebb42c8c84a37f4,https://www.semanticscholar.org/paper/d1512331edf8d9cbffa0e433eebb42c8c84a37f4,abstract excerpt,abstract,"This research explores the application of Self-Reflective Retrieval-Au’gmented Generation (Self-RAG) within analytical systems, specifically focusing on data distribution systems.","The study investigates Self-RAG in analytical systems, with a specific focus on data distribution systems.",True,"The abstract excerpt is truncated mid-word ('generat'), so key results and limitations are incomplete. No datasets or metrics are provided."
claim-010,"While traditional analytical systems often struggle with efficiently querying and interpreting vast datasets, Self-RAG presents a promising solution.",paper_result,paper-26d0681ef25e,Self-Reflective Retrieval-Augmented Generation (Self-RAG) in Analytical Systems,10.36930/conf150.5.21,,d1512331edf8d9cbffa0e433eebb42c8c84a37f4,https://www.semanticscholar.org/paper/d1512331edf8d9cbffa0e433eebb42c8c84a37f4,abstract excerpt,abstract,"While traditional analytical systems often struggle with efficiently querying and interpreting vast datasets, Self-RAG presents a promising solution.","Traditional analytical systems have difficulty efficiently querying and interpreting large datasets, and Self-RAG is proposed as a promising solution.",True,"The abstract excerpt is truncated mid-word ('generat'), so key results and limitations are incomplete. No datasets or metrics are provided."
