claim_id,claim,claim_type,paper_record_id,paper_title,doi,arxiv_id,semantic_scholar_paper_id,source_url,evidence_location,evidence_type,quote,paraphrase,verified,extraction_uncertainty
claim-001,Retrieval fusion techniques such as multi-query retrieval and reciprocal rank fusion (RRF) are commonly adopted to increase document recall under the assumption that higher recall leads to better answer quality.,paper_result,paper-48ed528e9740,Scaling Retrieval Augmented Generation with RAG Fusion: Lessons from an Industry Deployment,10.48550/arxiv.2603.02153,2603.02153,26c23812d4853f4eacde97c725e58b1ba09243f5,https://www.semanticscholar.org/paper/26c23812d4853f4eacde97c725e58b1ba09243f5,abstract excerpt,abstract,"Retrieval-Augmented Generation (RAG) systems commonly adopt retrieval fusion techniques such as multi-query retrieval and reciprocal rank fusion (RRF) to increase document recall, under the assumption that higher recall leads to better answer quality.","RAG systems often use retrieval fusion methods like multi-query retrieval and RRF to boost document recall, assuming that higher recall improves answer quality.",True,Abstract excerpt is truncated; no specific results or metrics are provided.
claim-002,"These methods show consistent gains in isolated retrieval benchmarks, but their effectiveness under realistic production constraints remains underexplored.",paper_result,paper-48ed528e9740,Scaling Retrieval Augmented Generation with RAG Fusion: Lessons from an Industry Deployment,10.48550/arxiv.2603.02153,2603.02153,26c23812d4853f4eacde97c725e58b1ba09243f5,https://www.semanticscholar.org/paper/26c23812d4853f4eacde97c725e58b1ba09243f5,abstract excerpt,abstract,"While these methods show consistent gains in isolated retrieval benchmarks, their effectiveness under realistic production constraints remains underexplored.","While retrieval fusion methods consistently improve isolated retrieval benchmarks, their performance under realistic production constraints is not well studied.",True,Abstract excerpt is truncated; no specific results or metrics are provided.
claim-003,"We evaluate retrieval fusion in a production-style RAG pipeline operating over an enterprise knowledge base, with fixed retrieval depth, re-ranking budgets, and latency constraints.",paper_result,paper-48ed528e9740,Scaling Retrieval Augmented Generation with RAG Fusion: Lessons from an Industry Deployment,10.48550/arxiv.2603.02153,2603.02153,26c23812d4853f4eacde97c725e58b1ba09243f5,https://www.semanticscholar.org/paper/26c23812d4853f4eacde97c725e58b1ba09243f5,abstract excerpt,abstract,"In this work, we evaluate retrieval fusion in a production-style RAG pipeline operating over an enterprise knowledge base, with fixed retrieval depth, re-ranking budgets, and latency constra","The study evaluates retrieval fusion in a production-style RAG pipeline over an enterprise knowledge base, with fixed retrieval depth, re-ranking budgets, and latency constraints.",True,Abstract excerpt is truncated; no specific results or metrics are provided.
claim-004,Conventional single-agent RAG remains fundamentally limited in resolving complex queries demanding coordinated reasoning across heterogeneous data ecosystems.,paper_result,paper-1eeb45890506,HM-RAG: Hierarchical Multi-Agent Multimodal Retrieval Augmented Generation,10.1145/3746027.3754761,2504.12330,49fb7d86884ff42d1b6fbf6c2eb704399f8a4f65,https://www.semanticscholar.org/paper/49fb7d86884ff42d1b6fbf6c2eb704399f8a4f65,abstract excerpt,abstract,"While Retrieval-Augmented Generation (RAG) augments Large Language Models (LLMs) with external knowledge, conventional single-agent RAG remains fundamentally limited in resolving complex queries demanding coordinated reasoning across heterogeneous data ecosystems.",Single-agent RAG is fundamentally limited for complex queries that require coordinated reasoning across diverse data ecosystems.,True,Abstract excerpt is truncated; no results or evaluation metrics are provided.
claim-005,"We present HM-RAG, a novel Hierarchical Multi-agent Multimodal RAG framework that pioneers collaborative intelligence for dynamic knowledge synthesis across structured, unstructured, and graph-based data.",paper_result,paper-1eeb45890506,HM-RAG: Hierarchical Multi-Agent Multimodal Retrieval Augmented Generation,10.1145/3746027.3754761,2504.12330,49fb7d86884ff42d1b6fbf6c2eb704399f8a4f65,https://www.semanticscholar.org/paper/49fb7d86884ff42d1b6fbf6c2eb704399f8a4f65,abstract excerpt,abstract,"We present HM-RAG, a novel Hierarchical Multi-agent Multimodal RAG framework that pioneers collaborative intelligence for dynamic knowledge synthesis across structured, unstructured, and graph-based data.","HM-RAG is a new hierarchical multi-agent multimodal RAG framework that enables collaborative intelligence for dynamic knowledge synthesis across structured, unstructured, and graph-based data.",True,Abstract excerpt is truncated; no results or evaluation metrics are provided.
claim-006,The framework is composed of a three-tiered architecture with specialized agents: a Decomposition Agent that dissects complex quer,paper_result,paper-1eeb45890506,HM-RAG: Hierarchical Multi-Agent Multimodal Retrieval Augmented Generation,10.1145/3746027.3754761,2504.12330,49fb7d86884ff42d1b6fbf6c2eb704399f8a4f65,https://www.semanticscholar.org/paper/49fb7d86884ff42d1b6fbf6c2eb704399f8a4f65,abstract excerpt,abstract,The framework is composed of a three-tiered architecture with specialized agents: a Decomposition Agent that dissects complex quer,"HM-RAG uses a three-tiered architecture with specialized agents, including a Decomposition Agent that breaks down complex queries.",True,Abstract excerpt is truncated; no results or evaluation metrics are provided.
claim-007,Large Language Models (LLMs) exhibit remarkable capabilities but are prone to generating inaccurate or hallucinatory responses.,paper_result,paper-0e1cf25a025d,RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,10.48550/arxiv.2404.00610,2404.00610,746b96ee17e329f1085a047116c05e12eaa3925a,https://www.semanticscholar.org/paper/746b96ee17e329f1085a047116c05e12eaa3925a,abstract excerpt,abstract,Large Language Models (LLMs) exhibit remarkable capabilities but are prone to generating inaccurate or hallucinatory responses.,LLMs have impressive abilities but can produce inaccurate or hallucinated responses.,True,Abstract excerpt is truncated; no specific method details or results are provided.
claim-008,"This limitation stems from their reliance on vast pretraining datasets, making them susceptible to errors in unseen scenarios.",paper_result,paper-0e1cf25a025d,RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,10.48550/arxiv.2404.00610,2404.00610,746b96ee17e329f1085a047116c05e12eaa3925a,https://www.semanticscholar.org/paper/746b96ee17e329f1085a047116c05e12eaa3925a,abstract excerpt,abstract,"This limitation stems from their reliance on vast pretraining datasets, making them susceptible to errors in unseen scenarios.","The tendency to hallucinate arises from LLMs' dependence on large pretraining datasets, which makes them error-prone in unfamiliar situations.",True,Abstract excerpt is truncated; no specific method details or results are provided.
claim-009,"Retrieval-Augmented Generation (RAG) addresses this by incorporating external, relevant documents into the response generation process, thus leveraging non-parametric knowledge alongside LLMs' in-context learning abilities.",paper_result,paper-0e1cf25a025d,RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,10.48550/arxiv.2404.00610,2404.00610,746b96ee17e329f1085a047116c05e12eaa3925a,https://www.semanticscholar.org/paper/746b96ee17e329f1085a047116c05e12eaa3925a,abstract excerpt,abstract,"To tackle these challenges, Retrieval-Augmented Generation (RAG) addresses this by incorporating external, relevant documents into the response generation process, thus leveraging non-parametric knowledge alongside LLMs' in-context learning abilities.","RAG mitigates hallucination by adding relevant external documents to generation, combining non-parametric knowledge with in-context learning.",True,Abstract excerpt is truncated; no specific method details or results are provided.
claim-010,Existing RAG implementations primarily focus on initial input for context retrieval.,paper_result,paper-0e1cf25a025d,RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,10.48550/arxiv.2404.00610,2404.00610,746b96ee17e329f1085a047116c05e12eaa3925a,https://www.semanticscholar.org/paper/746b96ee17e329f1085a047116c05e12eaa3925a,abstract excerpt,abstract,"However, existing RAG implementations primarily focus on initial input for context retrieval,",Current RAG systems mainly use the initial query for retrieving context.,True,Abstract excerpt is truncated; no specific method details or results are provided.
