claim_id,claim,claim_type,paper_record_id,paper_title,doi,arxiv_id,semantic_scholar_paper_id,source_url,evidence_location,evidence_type,quote,paraphrase,verified,extraction_uncertainty
offline-claim-001,Offline fixture evidence for Offline Fixture Corrective Retrieval Study 07,paper_result,paper-fb76496e560e,Offline Fixture Corrective Retrieval Study 07,10.5555/offline.07,,0000000000000000000000000000000000000007,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000007,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-002,Offline fixture evidence for Offline Fixture Cross Encoder Reranker Study 05,paper_result,paper-95dc9b4808a5,Offline Fixture Cross Encoder Reranker Study 05,10.5555/offline.05,,0000000000000000000000000000000000000005,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000005,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-003,Offline fixture evidence for Offline Fixture Self RAG Study 09,paper_result,paper-9230a0fd10a1,Offline Fixture Self RAG Study 09,10.5555/offline.09,,0000000000000000000000000000000000000009,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000009,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-004,Offline fixture evidence for Offline Fixture Adaptive Retrieval Study 11,paper_result,paper-38335c98de76,Offline Fixture Adaptive Retrieval Study 11,10.5555/offline.11,,000000000000000000000000000000000000000b,https://www.semanticscholar.org/paper/000000000000000000000000000000000000000b,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-005,Offline fixture evidence for Offline Fixture Self Reflective Retrieval Study 10,paper_result,paper-bf86d674eb1d,Offline Fixture Self Reflective Retrieval Study 10,10.5555/offline.10,,000000000000000000000000000000000000000a,https://www.semanticscholar.org/paper/000000000000000000000000000000000000000a,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-006,Offline fixture evidence for Offline Fixture Passage Reranking Study 06,paper_result,paper-c3d5a3eb663e,Offline Fixture Passage Reranking Study 06,10.5555/offline.06,,0000000000000000000000000000000000000006,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000006,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-007,Offline fixture evidence for Offline Fixture Query Reformulation Study 02,paper_result,paper-fee62d4676d5,Offline Fixture Query Reformulation Study 02,10.5555/offline.02,,0000000000000000000000000000000000000002,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000002,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-008,Offline fixture evidence for Offline Fixture Reranking Study 04,paper_result,paper-399637e520c5,Offline Fixture Reranking Study 04,10.5555/offline.04,,0000000000000000000000000000000000000004,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000004,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-009,Offline fixture evidence for Offline Fixture Faithful Retrieval Pipeline Study 12,paper_result,paper-cda99a74fe44,Offline Fixture Faithful Retrieval Pipeline Study 12,10.5555/offline.12,,000000000000000000000000000000000000000c,https://www.semanticscholar.org/paper/000000000000000000000000000000000000000c,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-010,Offline fixture evidence for Offline Fixture Retrieval Correction Study 08,paper_result,paper-cdc0d6a5f8d7,Offline Fixture Retrieval Correction Study 08,10.5555/offline.08,,0000000000000000000000000000000000000008,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000008,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-011,Offline fixture evidence for Offline Fixture Query Rewriting Study 01,paper_result,paper-67a7bccd81d1,Offline Fixture Query Rewriting Study 01,10.5555/offline.01,,0000000000000000000000000000000000000001,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000001,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
offline-claim-012,Offline fixture evidence for Offline Fixture Multi Query Retrieval Study 03,paper_result,paper-32d3496c835f,Offline Fixture Multi Query Retrieval Study 03,10.5555/offline.03,,0000000000000000000000000000000000000003,https://www.semanticscholar.org/paper/0000000000000000000000000000000000000003,offline fixture abstract excerpt,abstract,,Synthetic fixture claim used only to exercise the offline pipeline.,True,Offline mock; not a live paper analysis.
